,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
0,Villa Del Sol II,賃貸アパート,東京都荒川区荒川３,ＪＲ常磐線/三河島駅 歩8分,築10年,3階建,2階,14.4万円,6000円,-,14.4万円,2LDK,58.44m2,https://suumo.jp/chintai/jnc_000079138912/?bc=100309809387
3,リブリ・レジデンス三ノ輪,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩6分,築3年,9階建,6階,16.1万円,6000円,-,16.1万円,2LDK,50.01m2,https://suumo.jp/chintai/jnc_000079133937/?bc=100309750329
6,GENOVIA隅田川west skygarden,賃貸マンション,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩5分,築5年,11階建,3階,14.85万円,15000円,-,14.85万円,2LDK,51.01m2,https://suumo.jp/chintai/jnc_000040896468/?bc=100309693474
7,GENOVIA隅田川west skygarden,賃貸マンション,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩5分,築5年,11階建,9階,15.75万円,15000円,-,15.75万円,2LDK,51.01m2,https://suumo.jp/chintai/jnc_000040896489/?bc=100308997080
12,東京メトロ千代田線 町屋駅 11階建 築5年,賃貸マンション,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩5分,築5年,11階建,3階,14.85万円,15000円,-,14.85万円,2LDK,51.01m2,https://suumo.jp/chintai/jnc_000041255539/?bc=100309760767
13,東京メトロ千代田線 町屋駅 11階建 築5年,賃貸マンション,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩5分,築5年,11階建,9階,15.75万円,15000円,-,15.75万円,2LDK,51.01m2,https://suumo.jp/chintai/jnc_000040875547/?bc=100308963368
18,プレミスト亀有,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩6分,築13年,14階建,9階,14.8万円,12000円,29.6万円,14.8万円,3LDK,65.41m2,https://suumo.jp/chintai/jnc_000054851419/?bc=100302658676
19,プレミスト亀有,賃貸マンション,東京都葛飾区亀有３,ＪＲ常磐線/亀有駅 歩6分,築13年,14階建,9階,16.8万円,12000円,33.6万円,16.8万円,3LDK,65.41m2,https://suumo.jp/chintai/jnc_000077752685/?bc=100302612281
24,ＪＲ山手線 田端駅 3階建 築6年,賃貸アパート,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩12分,築6年,3階建,2階,11.8万円,5000円,5.9万円,23.6万円,2LDK,50.2m2,https://suumo.jp/chintai/jnc_000022817365/?bc=100307957015
27,シェラトン南千住,賃貸マンション,東京都荒川区南千住７,ＪＲ常磐線/南千住駅 歩3分,新築,10階建,7階,16.3万円,12000円,-,-,2LDK,56.08m2,https://suumo.jp/chintai/jnc_000079050760/?bc=100309373509
